UniProt ID,Protein Name
P50570,Dynamin-2
P50616,Protein Tob1
P50750,Cyclin-dependent kinase 9
P50991,T-complex protein 1 subunit delta
P51159,Ras-related protein Rab-27A
P51178,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1"
P51608-1,Isoform A of Methyl-CpG-binding protein 2
P51617,Interleukin-1 receptor-associated kinase 1
P51668,Ubiquitin-conjugating enzyme E2 D1
P51784,Ubiquitin carboxyl-terminal hydrolase 11
P51946,Cyclin-H
P52272,Heterogeneous nuclear ribonucleoprotein M
P52292,Importin subunit alpha-1
P52594,Arf-GAP domain and FG repeat-containing protein 1
P52655-1,Isoform 42 kDa of Transcription initiation factor IIA subunit 1
P52657,Transcription initiation factor IIA subunit 2
P52756,RNA-binding protein 5
P52952,Homeobox protein Nkx-2.5
P53350,Serine/threonine-protein kinase PLK1
P53365,Arfaptin-2
P53673,Beta-crystallin A4
P53779,Mitogen-activated protein kinase 10
P54105,Methylosome subunit pICln
P54252-1,Isoform 1 of Ataxin-3
P54253,Ataxin-1
P54274,Telomeric repeat-binding factor 1
P54274-2,Isoform 2 of Telomeric repeat-binding factor 1
P54725,UV excision repair protein RAD23 homolog A
P54727,UV excision repair protein RAD23 homolog B
P55055,Oxysterols receptor LXR-beta
P55072,Transitional endoplasmic reticulum ATPase
P55145,Mesencephalic astrocyte-derived neurotrophic factor
P55199,RNA polymerase II elongation factor ELL
P55209,Nucleosome assembly protein 1-like 1
P55210,Caspase-7
P55211,Caspase-9
P55345,Protein arginine N-methyltransferase 2
P56589,Peroxisomal biogenesis factor 3
P56693,Transcription factor SOX-10
P57081,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4
P58062,Serine protease inhibitor Kazal-type 7
P58400-1,Isoform 3b of Neurexin-1-beta
P60484-1,"Isoform 1 of Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
P60520,Gamma-aminobutyric acid receptor-associated protein-like 2
P60763,Ras-related C3 botulinum toxin substrate 3
P60842,Eukaryotic initiation factor 4A-I
P60900,Proteasome subunit alpha type-6
P60953,Cell division control protein 42 homolog
P61006,Ras-related protein Rab-8A
P61077-1,Isoform 1 of Ubiquitin-conjugating enzyme E2 D3
P61081,NEDD8-conjugating enzyme Ubc12
P61088,Ubiquitin-conjugating enzyme E2 N
P61326,Protein mago nashi homolog
P61586,Transforming protein RhoA
P61981,14-3-3 protein gamma
P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
P62277,Small ribosomal subunit protein uS15
P62304,Small nuclear ribonucleoprotein E
P62308,Small nuclear ribonucleoprotein G
P62318,Small nuclear ribonucleoprotein Sm D3
P62330,ADP-ribosylation factor 6
P62491,Ras-related protein Rab-11A
P62714,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
P62745,Rho-related GTP-binding protein RhoB
P62805,Histone H4
P62826,GTP-binding nuclear protein Ran
P62837,Ubiquitin-conjugating enzyme E2 D2
P63000,Ras-related C3 botulinum toxin substrate 1
P63027,Vesicle-associated membrane protein 2
P63104,14-3-3 protein zeta/delta
P63146,Ubiquitin-conjugating enzyme E2 B
P63167,"Dynein light chain 1, cytoplasmic"
P63244,Small ribosomal subunit protein RACK1
P63279,SUMO-conjugating enzyme UBC9
P67775,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
P67809,Y-box-binding protein 1
P67870,Casein kinase II subunit beta
P68104,Elongation factor 1-alpha 1
P68400,Casein kinase II subunit alpha
P68431,Histone H3.1
P78314,SH3 domain-binding protein 2
P78380,Oxidized low-density lipoprotein receptor 1
P78406,mRNA export factor RAE1
P78563,Double-stranded RNA-specific editase 1
P83876,Thioredoxin-like protein 4A
P83916,Chromobox protein homolog 1
P84022,Mothers against decapentaplegic homolog 3
P84103,Serine/arginine-rich splicing factor 3
P84243,Histone H3.3
P98170,E3 ubiquitin-protein ligase XIAP
Q00059,"Transcription factor A, mitochondrial"
Q00403,Transcription initiation factor IIB
Q00534,Cyclin-dependent kinase 6
Q00597,Fanconi anemia group C protein
Q00987,E3 ubiquitin-protein ligase Mdm2
Q01094,Transcription factor E2F1
Q01105,Protein SET
Q01113,Interleukin-9 receptor
Q01196,Runt-related transcription factor 1
Q01638,Interleukin-1 receptor-like 1
Q01780,Exosome complex component 10
Q01831,DNA repair protein complementing XP-C cells
Q01973,Inactive tyrosine-protein kinase transmembrane receptor ROR1
Q02078,Myocyte-specific enhancer factor 2A
Q02410-2,Isoform 2 of Amyloid-beta A4 precursor protein-binding family A member 1
Q02447,Transcription factor Sp3
Q02750,Dual specificity mitogen-activated protein kinase kinase 1
Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4
Q03135,Caveolin-1
Q03518,Antigen peptide transporter 1
Q04206,Transcription factor p65
Q04917,14-3-3 protein eta
Q05193,Dynamin-1
Q05209,Tyrosine-protein phosphatase non-receptor type 12
Q05516,Zinc finger and BTB domain-containing protein 16
Q05BQ5,MBT domain-containing protein 1
Q06330,Recombining binding protein suppressor of hairless
Q06455-4,Isoform 4 of Protein CBFA2T1
Q06587,E3 ubiquitin-protein ligase RING1
Q06609,DNA repair protein RAD51 homolog 1
Q06830,Peroxiredoxin-1
Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial"
Q07812,Apoptosis regulator BAX
Q07817,Bcl-2-like protein 1
Q07869,Peroxisome proliferator-activated receptor alpha
Q09161,Nuclear cap-binding protein subunit 1
Q12771,p37 AUF1
Q12778,Forkhead box protein O1
Q12800,Alpha-globin transcription factor CP2
Q12834,Cell division cycle protein 20 homolog
Q12872,"Splicing factor, suppressor of white-apricot homolog"
Q12874,Splicing factor 3A subunit 3
Q13043,Serine/threonine-protein kinase 4
Q13094,Lymphocyte cytosolic protein 2
Q13105,Zinc finger and BTB domain-containing protein 17
Q13111,Chromatin assembly factor 1 subunit A
Q13153,Serine/threonine-protein kinase PAK 1
Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2
Q13158,FAS-associated death domain protein
Q13162,Peroxiredoxin-4
Q13185,Chromobox protein homolog 3
Q13188,Serine/threonine-protein kinase 3
Q13196,p72syk
Q13227,G protein pathway suppressor 2
Q13228,Methanethiol oxidase
Q13257,Mitotic spindle assembly checkpoint protein MAD2A
Q13263,Transcription intermediary factor 1-beta
Q13309-1,Isoform 1 of S-phase kinase-associated protein 2
Q13330,Metastasis-associated protein MTA1
Q13363,C-terminal-binding protein 1
Q13404,Ubiquitin-conjugating enzyme E2 variant 1
Q13416,Origin recognition complex subunit 2
Q13418,Scaffold protein ILK
Q13438,Protein OS-9
Q13467,Frizzled-5
Q13496,Myotubularin
Q13501,Sequestosome-1
Q13507,Short transient receptor potential channel 3
Q13546,Receptor-interacting serine/threonine-protein kinase 1
Q13547,Histone deacetylase 1
Q13569,G/T mismatch-specific thymine DNA glycosylase
Q13573,SNW domain-containing protein 1
Q13586,Stromal interaction molecule 1
Q13616,Cullin-1
Q13618,Cullin-3
Q13627,Dual specificity tyrosine-phosphorylation-regulated kinase 1A
Q13740,CD166 antigen
Q13746,Bcr-abl mRNA of acute lymphocytic leukaemia (ALL) patients
Q13838,Spliceosome RNA helicase DDX39B
Q13950,Runt-related transcription factor 2
Q14019,Coactosin-like protein
Q14103-2,Isoform 2 of Heterogeneous nuclear ribonucleoprotein D0
Q14103-3,Isoform 3 of Heterogeneous nuclear ribonucleoprotein D0
Q14103-4,Isoform 4 of Heterogeneous nuclear ribonucleoprotein D0
Q14141,Septin-6
Q14145,Kelch-like ECH-associated protein 1
Q14151,Scaffold attachment factor B2
Q14186,Transcription factor Dp-1
Q14192,Four and a half LIM domains protein 2
Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8
Q14457,Beclin-1
Q14565,Meiotic recombination protein DMC1/LIM15 homolog
Q14596,Next to BRCA1 gene 1 protein
Q14677,Clathrin interactor 1
Q14680,Maternal embryonic leucine zipper kinase
Q14739,Delta(14)-sterol reductase LBR
Q14974,Importin subunit beta-1
Q15013,MAD2L1-binding protein
Q15046,Lysine--tRNA ligase
Q15061,WD repeat-containing protein 43
Q15291,Retinoblastoma-binding protein 5
Q15311,RalA-binding protein 1
Q15365,Poly(rC)-binding protein 1
Q15382,GTP-binding protein Rheb
Q15459,Splicing factor 3A subunit 1
Q15485,Ficolin-2
Q15554,Telomeric repeat-binding factor 2
Q15562,Transcriptional enhancer factor TEF-4
Q15599,Na(+)/H(+) exchange regulatory cofactor NHE-RF2
Q15691,Microtubule-associated protein RP/EB family member 1
Q15700,Disks large homolog 2
Q15796,Mothers against decapentaplegic homolog 2
Q15797,Mothers against decapentaplegic homolog 1
Q15831,Serine/threonine-protein kinase STK11
Q16186,Proteasomal ubiquitin receptor ADRM1
Q16385,Protein SSX2
Q16539,Mitogen-activated protein kinase 14
Q16543,Hsp90 co-chaperone Cdc37
Q16611,Bcl-2 homologous antagonist/killer
Q16625-1,Isoform 1 of Occludin
Q16629,Serine/arginine-rich splicing factor 7
Q16637,Survival motor neuron protein
Q16665,Hypoxia-inducible factor 1-alpha
Q16763,Ubiquitin-conjugating enzyme E2 S
Q16849,Receptor-type tyrosine-protein phosphatase-like N
Q16890,Tumor protein D53
Q1ZZU3,DNA repair protein SWI5 homolog
Q3KNV8,Polycomb group RING finger protein 3
Q4VCS5-2,Isoform 2 of Angiomotin
Q53FT3,Protein Hikeshi
Q53GL0,Pleckstrin homology domain-containing family O member 1
Q53GS7,mRNA export factor GLE1
Q53HL2,Borealin
Q567U6,Coiled-coil domain-containing protein 93
Q5C9Z4,Nucleolar MIF4G domain-containing protein 1
Q5R3F8,Protein phosphatase 1 regulatory subunit 29
Q5T4F4,Protrudin
Q5VWG9,Transcription initiation factor TFIID subunit 3
Q676U5,Autophagy-related protein 16-1
Q6FI35,Proliferating cell nuclear antigen
Q6GV28,Transmembrane protein 225
Q6NYC1,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
Q6P9F0,Coiled-coil domain-containing protein 62
Q6PCD5,E3 ubiquitin-protein ligase RFWD3
Q6SZW1,NAD(+) hydrolase SARM1
Q6TDU7,Dynein axonemal intermediate chain 7
Q6VY07,Phosphofurin acidic cluster sorting protein 1
Q6ZMI0,Protein phosphatase 1 regulatory subunit 21
Q6ZV65-2,Isoform 2 of Protein FAM47E
Q70YC5-1,Isoform 1 of Protein ZNF365
Q71UM5,Ribosomal protein eS27-like
Q7Z434,Mitochondrial antiviral-signaling protein
Q7Z4T9-3,Isoform 3 of Cilia- and flagella-associated protein 91
Q7Z5V6,Stabilizer of axonemal microtubules 4
Q7Z699,"Sprouty-related, EVH1 domain-containing protein 1"
Q7Z6G3,N-terminal EF-hand calcium-binding protein 2
Q86SE9,Polycomb group RING finger protein 5
Q86TM6,E3 ubiquitin-protein ligase synoviolin
Q86UR1,NADPH oxidase activator 1
Q86UY5,Protein FAM83A
Q86V97,Kelch repeat and BTB domain-containing protein 6
Q86VP1,Tax1-binding protein 1
Q86WH2,Ras association domain-containing protein 3
Q86X95,Corepressor interacting with RBPJ 1
Q86XK2,F-box only protein 11
Q86XS5,Angiopoietin-related protein 5
Q86Y07-1,Isoform 1 of Serine/threonine-protein kinase VRK2
Q86Y07-2,Isoform 2 of Serine/threonine-protein kinase VRK2
Q86YS3,Rab11 family-interacting protein 4
Q8IUQ4,E3 ubiquitin-protein ligase SIAH1
Q8IW19,Aprataxin and PNK-like factor
Q8IWX8,Calcium homeostasis endoplasmic reticulum protein
Q8IYU2,E3 ubiquitin-protein ligase HACE1
Q8IYW5,E3 ubiquitin-protein ligase RNF168
Q8N1B3,Cyclin-Q
Q8N423,Leukocyte immunoglobulin-like receptor subfamily B member 2
Q8N4P2,Intraflagellar transport protein 70B
Q8N4Q1-1,Isoform 1 of Mitochondrial intermembrane space import and assembly protein 40
Q8N5H7-2,Isoform 2 of SH2 domain-containing protein 3C
Q8N5K1,CDGSH iron-sulfur domain-containing protein 2
Q8N612,FHF complex subunit HOOK-interacting protein 1B
Q8N7H5,RNA polymerase II-associated factor 1 homolog
Q8NAA4,Protein Atg16l2
Q8NC60,Nitric oxide-associated protein 1
Q8NCD3,Holliday junction recognition protein
Q8NEM0,Microcephalin
Q8NFA2,NADPH oxidase organizer 1
Q8NFA2-3,Isoform 3 of NADPH oxidase organizer 1
Q8NHX9,Two pore channel protein 2
Q8NI08,Nuclear receptor coactivator 7
Q8TAE8,Large ribosomal subunit protein mL64
Q8TAQ5,Zinc finger protein 420
Q8TBX8,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma
Q8TD19,Serine/threonine-protein kinase Nek9
Q8TEC5,E3 ubiquitin-protein ligase SH3RF2
Q8WTS6,Histone-lysine N-methyltransferase SETD7
Q8WUF5,RelA-associated inhibitor
Q8WUJ0,Serine/threonine/tyrosine-interacting protein
Q8WV28,B-cell linker protein
Q8WVM8,Sec1 family domain-containing protein 1
Q8WVZ9,Kelch repeat and BTB domain-containing protein 7
Q8WWW0,Ras association domain-containing protein 5
Q8WXD5,Gem-associated protein 6
Q8WYA6,Beta-catenin-like protein 1
Q92466,DNA damage-binding protein 2
Q92609,TBC1 domain family member 5
Q92636,Protein FAN
Q92731,Estrogen receptor beta
Q92796,Disks large homolog 3
Q92934,Bcl2-associated agonist of cell death
Q92963,GTP-binding protein Rit1
Q92973,Transportin-1
Q92988,Homeobox protein DLX-4
Q92997,Segment polarity protein dishevelled homolog DVL-3
Q969F8,KiSS-1 receptor
Q969G3-1,Isoform 1 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1
Q969G3-2,Isoform 2 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1
Q969H0,F-box/WD repeat-containing protein 7
Q969T9,WW domain-binding protein 2
Q969X0,RILP-like protein 2
Q969X6,U3 small nucleolar RNA-associated protein 4 homolog
Q96AC1,Fermitin family homolog 2
Q96AV8,Transcription factor E2F7
Q96B01-1,Isoform 1 of RAD51-associated protein 1
Q96B01-2,Isoform 2 of RAD51-associated protein 1
